Pradiniai duomenys:
#    | Name            | Year  | Grade | Hash
---------------------------------------------------------------------------------------------------------
1    | Sybille         | 4     | 7.83  | 
2    | Freda           | 3     | 9.6   | 
3    | Loralee         | 4     | 4.74  | 
4    | Roseline        | 4     | 7.7   | 
5    | Gus             | 4     | 7.78  | 
6    | Garfield        | 3     | 7.64  | 
7    | Christopher     | 1     | 8.05  | 
8    | Domingo         | 2     | 7.19  | 
9    | Estell          | 4     | 8.39  | 
10   | Elysha          | 2     | 9.59  | 
11   | Vanya           | 3     | 5     | 
12   | Gram            | 3     | 7.09  | 
13   | Zaccaria        | 4     | 8.83  | 
14   | Nicholle        | 1     | 8.33  | 
15   | Clyde           | 4     | 8.63  | 
16   | Cyndy           | 2     | 6.7   | 
17   | Laurent         | 2     | 9.75  | 
18   | Philipa         | 1     | 6.26  | 
19   | Lisle           | 4     | 6.65  | 
20   | Sheff           | 4     | 4.9   | 
21   | Brody           | 4     | 7.12  | 
22   | Hertha          | 4     | 8     | 
23   | Madelle         | 3     | 7.33  | 
24   | Iain            | 3     | 9.61  | 
25   | Say             | 4     | 4.8   | 
26   | Lindy           | 1     | 5.46  | 
27   | Northrup        | 4     | 7.92  | 
28   | Elmo            | 4     | 9.23  | 
29   | Mortie          | 2     | 6.79  | 
30   | Petronilla      | 3     | 7.82  | 
31   | Katrine         | 4     | 8.36  | 
32   | Giffie          | 4     | 5.32  | 
33   | Taylor          | 2     | 4.69  | 
34   | Batholomew      | 3     | 8.87  | 
35   | Terri           | 1     | 6.59  | 
36   | Chloette        | 3     | 7.01  | 
37   | Auroora         | 3     | 8.72  | 
38   | Archibold       | 3     | 4.65  | 
39   | Florella        | 1     | 4.53  | 
40   | Konstantine     | 4     | 7.28  | 
41   | Elliott         | 2     | 9.78  | 
42   | Dalli           | 1     | 8.24  | 
43   | Yuri            | 3     | 7.42  | 
44   | Seline          | 1     | 9.83  | 
45   | Ellette         | 2     | 4.56  | 
46   | Davis           | 2     | 9.79  | 
47   | Chariot         | 1     | 7.88  | 
48   | Yvonne          | 3     | 6.38  | 
49   | Wilma           | 1     | 5.56  | 
50   | Karl            | 1     | 8.62  | 
51   | Winne           | 3     | 6.97  | 
52   | Melly           | 2     | 9.42  | 
53   | Trudi           | 2     | 9.94  | 
54   | Anabal          | 1     | 6.35  | 
55   | Wheeler         | 2     | 5.51  | 
56   | Lynett          | 3     | 6.79  | 
57   | Maureene        | 4     | 8.2   | 
58   | Reynolds        | 1     | 5.89  | 
59   | Florry          | 4     | 9.15  | 
60   | Russ            | 3     | 7.91  | 
61   | Gilbertine      | 4     | 4.57  | 
62   | Retha           | 1     | 9.5   | 
63   | Haily           | 1     | 9.37  | 
64   | Miranda         | 1     | 8.86  | 
65   | Pip             | 3     | 9.72  | 
66   | Jocelin         | 2     | 5.44  | 
67   | Alleyn          | 3     | 4.61  | 
68   | Kerr            | 4     | 6.75  | 
69   | Nicola          | 2     | 6.55  | 
70   | Gabe            | 2     | 8.63  | 
71   | Kori            | 4     | 6.25  | 
72   | Alfreda         | 3     | 7.6   | 
73   | Susanna         | 2     | 5.4   | 
74   | Truman          | 3     | 6.53  | 
75   | Corinna         | 2     | 5.26  | 
76   | Stanfield       | 4     | 8.84  | 
77   | Roseanne        | 4     | 7.08  | 
78   | Lizabeth        | 2     | 4.78  | 
79   | Levon           | 4     | 8.18  | 
80   | Bartie          | 1     | 7.25  | 
81   | Alvie           | 4     | 6.18  | 
82   | Luciano         | 4     | 6.88  | 
83   | Krista          | 2     | 5.99  | 
84   | Ingamar         | 3     | 7.77  | 
85   | Waldon          | 1     | 7.29  | 
86   | Ariella         | 3     | 8.65  | 
87   | Bianka          | 1     | 7.85  | 
88   | Letty           | 4     | 5.2   | 
89   | Glynnis         | 3     | 5.84  | 
90   | August          | 1     | 4.87  | 
91   | Sheena          | 4     | 7.86  | 
92   | Norry           | 1     | 4.78  | 
93   | Amargo          | 1     | 9.61  | 
94   | Marilin         | 1     | 6.69  | 
95   | Wit             | 2     | 8.14  | 
96   | Conchita        | 1     | 6.36  | 
97   | Sargent         | 4     | 6.16  | 
98   | Dulce           | 4     | 7.23  | 
99   | Wiatt           | 4     | 7.99  | 
100  | Salim           | 4     | 6.31  | 
101  | Rem             | 2     | 5.96  | 
102  | Ashbey          | 1     | 8.6   | 
103  | Letisha         | 1     | 9.43  | 
104  | Hernando        | 2     | 4.81  | 
105  | Isak            | 2     | 4.76  | 
106  | Hardy           | 4     | 5.72  | 
107  | Jodi            | 4     | 5.79  | 
108  | Gabrielle       | 1     | 8.44  | 
109  | Susan           | 1     | 4.67  | 
110  | Demeter         | 4     | 6.77  | 
111  | Jenifer         | 1     | 7.77  | 
112  | Annelise        | 3     | 9.86  | 
113  | Ashton          | 4     | 4.99  | 
114  | Fonzie          | 3     | 9.52  | 
115  | Nancie          | 4     | 9.13  | 
116  | Netta           | 3     | 9.16  | 
117  | Nannie          | 2     | 8.78  | 
118  | Zorana          | 1     | 6.41  | 
119  | Edna            | 3     | 8.43  | 
120  | Shandee         | 3     | 7.18  | 
121  | Huntlee         | 2     | 8.66  | 
